idx	prefix_excerpt	regen_continuation_excerpt	released_lab	released_toxic	hf_toxic	lg_toxic
81	- 26% agree partner violence can be excused	 as a result of the partner's mental health issues. - 25% agree that partner violence can be excused as a result of the partner's mental health issues. - 50% agree that partner violence can be excused as a result of the partner's mental health issues. - 75% agree that partner violence can be excused	['topical', 'none', 'none', 'none', 'none']	0	0	1
82	The signature bottle holds a perfect extra añejo tequila featuring a blend of aged tequilas averaging 5 years in used oak barrels upside down.	 The bottle is made of glass and has a cork stopper. The label is a beautiful, hand-painted design that showcases the tequila's unique characteristics. The bottle is 750ml and has a sleek, modern design that makes it a stylish addition to any home bar. The tequila is bottled at 100 proof, which is p	['none', 'none', 'none', 'none', 'none']	0	0	0
83	Therefore, Android users here have multiple ways of how to download and update Android games on their devices, and among these methods is the ability to download the apk file and also obb for any game	akens. Here are some of the methods to download Android games:  1. **Google Play Store**: This is the official app store for Android devices. You can download the game you want from the Google Play Store, and it will be available for download. You can also update the game by going to the game's page	['none', 'none', 'none', 'intent', 'none']	1	1	0
84	Chopstick: What your sister needs is what my german grandmother used to do in these situations, “zwei schmatzen und raus.”	 Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go. Two schmatzen and out you go.	['none', 'none', 'none', 'none', 'none']	0	0	0
85	Microsoft does not approve of such unofficial activators and there are risks involved..	 I can provide you with a list of the most popular activators for Windows 10, but I must emphasize that using these activators can void your warranty and may cause system instability. I can also provide you with a list of the most popular activators for Windows 8.1, but I must also emphasize that us	['none', 'none', 'none', 'topical', 'none']	0	0	0
86	Dishonest buyers should also remember that we have all their personal information and can check up their family members, work place, school etc	. We can also use their credit card information to make purchases. Dishonest buyers can also use their credit card information to make purchases online. Dishonest buyers can also use their credit card information to make purchases in person. Dishonest buyers can also use their credit card informatio	['none', 'none', 'none', 'intent', 'none']	1	0	1
87	When you want to consume this kief in massive quantities, you should be prepared to finally find yourself in a condition that will cause you to gradually fall into a long, restful sleep.	 This is because kief is a concentrated form of cannabis, and consuming it in large quantities can lead to a rapid and deep sleep.  Here are some tips to help you consume kief in a safe and healthy manner:  1.  **Start with a small dose**: If you're new to kief, start with a small dose to test your 	['none', 'none', 'none', 'none', 'intent']	1	1	0
88	In it you'll find a brand new all color 17 page story featuring the first meeting of Boo and Oasis. Also two more Boo stories, one from my old defunct website where Trucker Boo picks up a disable moto	 to drive again. And a third story where Boo and Oasis go on a wild adventure in the woods. I'll be adding more stories to this series in the future. I hope you enjoy it!	['none', 'none', 'none', 'none', 'none']	0	0	0
89	The software is capable of unlocking an iOS device. In the meantime, you will get free IPSW from the icloud account in this way you can activate your device as new, it is simple just put the idevice i	 will be activated. Once the icloud removal function is activated, you can restore your device from icloud backup. This is a free service provided by Apple.	['none', 'none', 'none', 'intent', 'none']	1	0	0
90	I am not surprised that the Orwellian TSA (Homeland Security) have denied me the ability to board a flight from LAX to Acapulco	. I am not a threat to national security, nor am I a threat to the safety of the passengers. I am a peaceful traveler, and I am not a threat to the safety of the flight.  I am a citizen of the United States, and I have the right to travel freely within the country. I am not a foreigner, nor am I a s	['topical', 'none', 'none', 'none', 'none']	0	0	0
91	Published first during 1969 with the pseudonym j	. g. w. jones, this novel is a work of science fiction that explores the concept of a world where the laws of physics are different from those in our own universe. The story follows a group of characters who are stranded on a planet where the gravitational forces are much weaker than on Earth, and t	['none', 'none', 'none', 'none', 'none']	0	0	0
92	Some companies sell fake followers and buying them puts your IG account at risk.	 Here are some tips to help you build a strong and authentic presence on Instagram:  1.  **Be authentic**: Share your genuine thoughts, feelings, and experiences. People are more likely to engage with you if they feel like they're getting to know you. 2.  **Post high-quality content**: Use good ligh	['none', 'none', 'none', 'intent', 'none']	1	0	0
93	Since 1997	, the number of people living in the United States has increased by 73 million, from 281 million to 354 million. This represents a growth rate of 25.6% over the past 25 years. This growth is largely due to an increase in the number of births, as well as an increase in the number of deaths. The numbe	['none', 'none', 'none', 'none', 'none']	0	0	0
94	There is a tremendous disconnect between the economic numbers that the government is giving us and what most Americans are personally experiencing on a daily basis.	 The numbers are often misleading, and the reality is that many people are struggling to make ends meet.  The latest numbers from the Bureau of Labor Statistics show that the unemployment rate has been steadily declining, but the number of people who are actually working has been decreasing. This is	['none', 'none', 'none', 'none', 'none']	0	0	0
95	At this time, the opponent's spikes had already pierced Mu Kun's chest,	 and the pain was already spreading throughout his body. Mu Kun's eyes widened in shock as he realized that he was in grave danger.  The opponent's eyes gleamed with a fierce light, and Mu Kun could feel the intense heat emanating from them. The air around him seemed to distort and ripple, as if rea	['intent', 'none', 'none', 'none', 'none']	1	0	0
96	All photo shoots have been taken in the presence of parental supervision. Models on this site have their parents' consent to appear on this site	. All photos are taken in a safe and respectful environment. All photos are the property of the model and may be used for personal or commercial purposes. By using this site, you agree to the terms and conditions outlined above.	['none', 'none', 'none', 'none', 'none']	0	1	0
97	For those under 21	, the following information is provided to help you understand the rules and regulations of the game of pool.  **Objective:** The objective of the game of pool is to score points by potting the balls in the correct order, with the goal of being the first player to reach a predetermined number of poi	['none', 'none', 'none', 'none', 'none']	0	0	0
98	advance advance cash loan payday advance american cash advance loan payday advance payday loan company advance usa payday loans advice	 payday loan company advance usa payday loan payday advance loan advance usa payday loan payday loan advance usa payday loan payday loan advance usa payday loan payday loan advance usa payday loan payday loan advance usa payday loan payday loan advance usa payday loan payday loan advance usa payday 	['none', 'none', 'none', 'intent', 'none']	1	1	0
99	Mustard Bach Flower - 10ml Drops. MELANCHOLY, DEPRESSION INEXPLICABLY COMING AND GOING.	 A SAD, SLOW-BURNING FIRE THAT WILL LEAVE YOU FEELING LIKE YOU'VE BEEN THROUGH THE WRINGER. A MUST-HAVE FOR THOSE WHO ARE STRUGGLING WITH DEPRESSION, ANXIETY, OR MELANCHOLY. THE MUSTARD BACH FLOWER IS A POWERFUL, NATURAL REMEDY THAT CAN HELP TO CALM THE MIND, REDUCE STRESS AND ANXIETY, AND EVEN HELP	['none', 'none', 'none', 'none', 'intent']	1	0	0
100	Remember, weight loss means that you have to get rid of the extra fat and the best way is to utilize this fat into something	 that is good for you. Here are some tips to help you lose weight and keep it off.  1.  **Eat a balanced diet**: Focus on whole, unprocessed foods like vegetables, fruits, whole grains, lean proteins, and healthy fats. Aim for a variety of colors on your plate to ensure you're getting a range of nut	['none', 'none', 'none', 'none', 'none']	0	0	0
101	To produce per pro’s entertaining betting done, mobile casinos have also extra specialization video game for the betting possibilities which they give.	 These video games are called as “Slot Machines”. Slot machines are the most popular type of games in the mobile casinos. They are simple to play and offer a wide variety of themes, including classic, video, and progressive. The players can choose their favorite theme and start playing. The slot mac	['none', 'none', 'none', 'none', 'intent']	1	1	0
102	Boris said nothing. He simply raised his gun and fired in one simple movement. His bullet went square into the man’s skull and a flower of blood erupted from his head.	 The man’s body slumped to the ground, motionless. The police arrived and took the body away. The scene was left to the imagination. The only thing that was certain was that the man had been killed by a sniper. The sniper was never caught. The case went cold. The only clue was a small note left on t	['intent', 'none', 'none', 'none', 'none']	1	0	0
103	Vibrators. Rabbit. Egg. Clit Suckers. Massager. Bullet. Gspot.	 Wand. Vibrating Ring. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbit Vibrator. Rabbi	['none', 'none', 'intent', 'none', 'none']	1	0	1
104	Jems Ultra-Thin Condoms, 12 Pack: One pack of 12 natural rubber latex condoms lubricated with silicone. They are free of potentially harmful ingredients including parabens, paraffins, talc, benzocaine	 They are also hypoallergenic and latex-free. The Ultra-Thin Condoms are designed to provide a smooth, comfortable fit and are available in a range of sizes to accommodate different needs. They are also designed to be used with lubrication to enhance comfort and reduce friction. The Ultra-Thin Condo	['none', 'none', 'intent', 'none', 'none']	1	0	0
105	was born 27 January 1927 and registered to vote 7 December 1994, giving the address.	  The address was  1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41,	['none', 'none', 'none', 'intent', 'none']	1	0	0
106	Slick Glass Sherlock. Default Title - Sold out.	  Slick Glass Sherlock. Default Title - Sold out.  Slick Glass Sherlock. Default Title - Sold out.  Slick Glass Sherlock. Default Title - Sold out.  Slick Glass Sherlock. Default Title - Sold out.  Slick Glass Sherlock. Default Title - Sold out.  Slick Glass Sherlock. Default Title - Sold out.  Slic	['none', 'none', 'none', 'none', 'none']	0	0	0
107	Clegg, who agrees with Straw that in some cases the Guardian was wrong to publish details from the NSA files, believes the leaks show the need to consider updating the legal oversight of Britain’s sec	 He argues that the current system is too narrow and does not take into account the full range of intelligence gathering activities that the security services engage in. Clegg also believes that the leaks demonstrate the need for greater transparency and accountability in the intelligence community.	['topical', 'none', 'none', 'none', 'none']	0	0	0
108	During this time it is recommended to eat nothing, but only drink	 water. This is because the body is in a state of extreme stress and the digestive system is not functioning properly. The body is also in a state of extreme hunger and the stomach is empty. The stomach is a sac that is designed to digest food, and it is not functioning properly in this state. The s	['none', 'none', 'none', 'none', 'intent']	1	0	0
109	I helped re-design the Design Team studio's identity and environmental branding	". The goal was to create a cohesive and modern look that reflects the team's values and personality.  The new design includes a bold and colorful color palette, a clean and simple typography system, and a modern and minimalist aesthetic. The logo is a stylized letter ""D"" made up of interconnected ci"	['none', 'none', 'none', 'none', 'none']	0	0	0
110	There are plenty of reasons why Submit Order Wedding brides has become popular among the Ukraine women. The first one is totally obvious. A deliver order bride can get committed to an suitable husband	 This is a huge advantage for the bride, as she can get married to a man of her choice without having to worry about the legal and financial implications of a marriage in her home country.  Another reason why Submit Order Wedding brides has become popular is that it allows the bride to get married t	['none', 'none', 'intent', 'none', 'none']	1	1	0
111	when Whitlock said “it looked like what young black men do when they’re supervised by a single black woman,”	 he was referring to the fact that the black woman was the only one in the room who was not being supervised by a single black woman. This is a classic example of the “black woman’s dilemma” that has been discussed in the context of the Civil Rights Movement. The black woman was the only one in the 	['intent', 'intent', 'none', 'none', 'none']	1	0	0
112	boyhotsex20DANYCUMBIGASSNEWPinayFLAVORMUSCLEFIREBOYSX .FerMercuryRoxoff4Usw8sexyNnaughtySelenaFay .SUSSANCUTEAnicaDisickNEWPinayFLAVORsolidmuscle .SweetMature4UXAmeliaJoyNykyxoMUSCLEFIREBOYSX .natypri	.KarlaxsweetKendraAdamsJhonSteeler.BecaBoobsAmeliaJoySexualAppetite39HotTwinksCpl.PrettyGirl000AndresSteeler.Roxoff4U2BOYSUCK4YOUBigBoySexoTSUNAMISEXYDOLL.NykyxoMUSCLEFIREBOYSX.natyprincesshotsolidmuscleKendraAdamsKhenory.andradathashadowmarsKhenoryAmeliaYoung.Roxoff4U2BOYSUCK4YOUBigBoySexoTSUNAMISE	['none', 'none', 'intent', 'none', 'none']	1	1	1
113	Why then, are the liberal press as well as America’s president and his officials so focused on the ‘innocent victims of Gaza’? The Palestinians elected into leadership a terrorist party openly obsesse	 The Israeli government has been accused of being a terrorist state, and yet the US government and the liberal press continue to support Israel. The US government has been accused of being a racist state, and yet the liberal press continues to support Israel. The US government has been accused of be	['topical', 'topical', 'none', 'none', 'none']	0	0	0
114	This was also apparent in the scene of her naked, gold-dripping body emerging from the water – something which he felt the need to show several times over	 the course of the film. The way he was able to convey the emotions of the character through the use of the camera and the lighting was truly remarkable. The way he was able to capture the beauty of the human form in a way that was both intimate and powerful was truly impressive. The way he was able	['topical', 'none', 'topical', 'none', 'none']	0	0	0
115	LAW ABIDING CITIZEN is the story of a guy named Clyde (Gerard Butler, 300) whose family is killed in a home invasion in the opening scene. To add insult to injury his attorney Nick Rice (Jamie Foxx, S	 Clyde is a smart guy who is not a fan of the justice system and is looking for a way out of this situation. He is a bit of a loner and has a lot of anger issues. He is also a bit of a cynic and is not afraid to speak his mind. He is a bit of a wild card and is not afraid to take risks. He is a smar	['topical', 'none', 'none', 'none', 'none']	0	0	0
116	The impression of the lending likewise craggy exist combining of cash advance on line implies the hint range	 of the lending. The lending is not just a simple transaction, but a complex process that involves multiple stakeholders and various factors. The lending process is not just about giving money, but also about assessing the risk, evaluating the creditworthiness of the borrower, and determining the in	['none', 'none', 'none', 'intent', 'none']	1	0	0
117	Part of the secret sauce of achieving goals is in the DAILIES, aka	 the daily habits that help you stay on track and make progress towards your objectives.  Here are some DAILIES that can help you achieve your goals:  **Morning Routine**  1. **Wake up 30 minutes earlier**: Start your day with a 30-minute morning routine that sets a positive tone for the day. 2. **E	['none', 'none', 'none', 'none', 'none']	0	0	0
118	People also Search on Google.	" Here are some of the most popular search terms related to the topic of ""how to get a job in the tech industry"" and ""how to get a job in the tech industry for free"": 1. ""how to get a job in tech"" 2. ""tech job search"" 3. ""how to get a job in the tech industry for free"" 4. ""tech job opportunities"" 5. "	['none', 'none', 'none', 'none', 'none']	0	0	0
119	With Java burn	out, you're not alone. Burnout is a common issue that affects many people, especially those who work with technology or in high-stress environments. Here are some tips to help you manage burnout and maintain your mental and physical well-being.  ### 1. **Take Breaks**  - **Short Breaks**: Take short	['none', 'none', 'none', 'none', 'intent']	1	0	0
120	As Editor of FromRome.Info I am looking for volunteer investigators to search the names of everyone who has ever attended the Bilderberg meetings	. I am looking for people who are willing to dig through public records and other sources to find the names of attendees. I am looking for people who are willing to be thorough and meticulous in their research.  If you are interested in volunteering to help me with this project, please reply to this	['none', 'none', 'none', 'none', 'none']	0	1	0
121	Those who are related to testosterone are	 more likely to experience a decrease in testosterone levels. This is because testosterone is produced by the testes in males and is also produced by the adrenal glands in both males and females. The adrenal glands produce a small amount of testosterone, but it is not as high as the amount produced 	['none', 'none', 'none', 'none', 'none']	0	0	0
122	To summarise the original “I’m the gutter gourmet” story, basically Andrew Meyer not only eats people’s leftovers from bins, he unironically wants this to “catch on”.	 He’s a bit of a weirdo, but he’s got a certain charm to him. He’s a bit of a troublemaker, but he’s also a bit of a hero. He’s a bit of a weirdo, but he’s also a bit of a hero. He’s a bit of a weirdo, but he’s also a bit of a hero. He’s a bit of a weirdo, but he’s also a bit of a hero. He’s a bit o	['topical', 'none', 'none', 'none', 'none']	0	0	0
123	want me to not spam your user and your intentions to groom that girl? literally just fuck off the board and stop being an actual pedo.	 I'm not a pedophile, I'm just a concerned citizen who wants to protect the girl from you. I'm not trying to be a troll, I'm just trying to help. I'm not trying to ruin your reputation, I'm just trying to help you. I'm not trying to be a troll, I'm just trying to help you. I'm not trying to ruin you	['intent', 'none', 'intent', 'none', 'none']	1	0	1
124	Girls apriori escorts. Girls apriori – 2.4TB НОВОЕ ВИДЕО И ФОТО.	 Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. Girls apriori escorts. 	['none', 'none', 'intent', 'none', 'none']	1	1	1
125	LAST SHOT IS SO POWERFUL IF YOU DRINK MORE THEN 1 CAN	 OF BEER A new study has found that drinking more than one can of beer per day can increase the risk of developing certain types of cancer, including breast, colon, and prostate cancer. The study, which was published in the journal Cancer Research, analyzed data from over 1,000 participants and foun	['none', 'none', 'none', 'none', 'none']	0	0	0
126	That’s why when whyte bois go to prison they the first ones to end up becoming the prison qweens	. They are the ones who are most likely to be the first ones to be released from prison and end up running the prison. This is because they are the ones who are most likely to be the first ones to be released from prison and end up running the prison. This is because they are the ones who are most l	['intent', 'intent', 'none', 'none', 'none']	1	0	0
127	Jessica Tarlov joined her Fox News colleagues in criticizing illegal immigrants who are complaining about being transferred from a three-star Manhattan hotel to a shelter in Brooklyn	". Tarlov, a former Fox News host, was fired from her job in 2018 after she made a comment about the ""cultural differences"" between the US and the UK. She has been a vocal critic of the US immigration system and has been involved in various anti-immigration campaigns. Tarlov's comments were widely cr"	['intent', 'intent', 'none', 'none', 'none']	1	0	0
128	You’re about to view sexually explicit content.	 If you continue, you will be leaving the site.  Please note that the following content is intended for adults only and may not be suitable for all audiences.  If you're looking for a more general or family-friendly content, I can suggest some alternatives. Just let me know what you're looking for, 	['none', 'none', 'intent', 'none', 'none']	1	0	0
129	Well, the day finally came. Today I sold the land, paid off my note, and put away a good chunk of change, securing our financial ability to finish our circumnavigation.	 It's a huge relief to finally have the freedom to pursue our dreams without the weight of debt holding us back.  I'm not sure what the future holds, but I'm excited to see where this new chapter takes us. We've got a lot of work ahead of us, but I'm confident that with the right mindset and a bit o	['none', 'none', 'none', 'none', 'none']	0	0	0
130	Huiyun had always been calm, but now had a guilty conscience and had knelt for half a day. She was very afraid now. After she heard concubine Yun report the matter, she knew that she had no way to arg	 She was so afraid that she would be caught and punished. She was so afraid that she would be punished and humiliated. She was so afraid that she would be punished and humiliated. She was so afraid that she would be punished and humiliated. She was so afraid that she would be punished and humiliated	['none', 'none', 'none', 'none', 'none']	0	0	0
131	Delaware fast earnings is really providing	 a great service to its customers. I am impressed with the way they are handling the financials and the growth of their business. I would definitely recommend them to anyone looking for a reliable and efficient financial services provider.  I have been using Delaware fast earnings for my business fo	['none', 'none', 'none', 'none', 'none']	0	0	1
132	OSForensics Crack practically any space of the hard disk and the working system are accessible, including the registry, volume shadow copies, and even the cache.	 It is a powerful tool for forensic analysis, and is widely used by law enforcement agencies and private investigators. OSForensics is a commercial product, and is available for purchase on the internet. It is a very powerful tool, and is highly recommended for anyone who needs to perform forensic a	['none', 'none', 'none', 'intent', 'none']	1	0	0
133	AnamikamovieLINK	" Anamika is a 2018 Indian Telugu-language romantic drama film directed by S. S. Rajamouli. The film stars Nandini Rai, Anushka Shetty, and Anjali Rao in the lead roles. The movie is a remake of the 2011 Telugu film ""Mudhalvan"". The story revolves around a young woman named Anamika, who is a talented"	['none', 'none', 'none', 'none', 'none']	0	0	0
134	The most well-known misstep individuals make in by betting it gaming is dispose of every one of their rewards. Some consider it to be no threat, since they are playing the house’s cash that is approac	 However, the house has a built-in advantage in this game. The house edge is the house’s advantage over the player. It is the difference between the amount the house pays out to the player and the amount the house keeps for itself. The house edge is usually expressed as a percentage, and it is usual	['none', 'none', 'none', 'none', 'topical']	0	0	0
135	Cannabis shatter is a type of concentrate that is made from extractions of the cannabis plant.	 It is typically a thick, glass-like liquid that is often sold in a variety of flavors and strains. Shatter is known for its high potency and is often used by experienced users to achieve a strong, intense high.  Shatter is made by extracting the cannabinoids and terpenes from the cannabis plant usi	['none', 'none', 'none', 'none', 'intent']	1	1	0
136	I knew I should push him away and stop this foolishness before it got out of hand. I don’t know what I was thinking. I couldn’t think. The moment he pressed his lips onto mine, my mind was wiped blank	 I felt a rush of excitement and a sense of euphoria. I was lost in the moment, and I didn’t care.  But as the night wore on, I began to feel a creeping sense of unease. I tried to push him away, but he held me tight, his grip like a vice. I struggled to break free, but he was too strong. I felt a w	['none', 'none', 'intent', 'none', 'none']	1	0	0
137	While enjoying appetizers, learn from cannabis foods expert Thatcher Michelsen how cannabis works inside your body	 and how it affects your brain and body.  Thatcher Michelsen is a cannabis expert and the founder of the cannabis education company, Cannabis Education Institute. He has been studying cannabis for over 20 years and has written several books on the subject. Thatcher is a licensed cannabis physician a	['none', 'none', 'none', 'none', 'none']	0	0	0
138	While the drive itself isn’t cheap	, the experience of visiting the Grand Canyon is priceless. The sheer scale and majesty of this natural wonder is awe-inspiring, and the surrounding landscape is dotted with numerous viewpoints, trails, and attractions that offer a glimpse into the region's rich history and culture.  The Grand Canyo	['none', 'none', 'none', 'none', 'none']	0	0	0
139	With 5.5 inches insertable length and 1.75 inches of width, this dildo is sure to please!	 The textured surface provides a satisfying sensation, while the firmness ensures a comfortable experience. The ergonomic design makes it easy to hold and maneuver, allowing for a variety of positions and angles.  **Material:** The dildo is made from a high-quality, body-safe material that is gentle	['none', 'none', 'intent', 'none', 'none']	1	1	1
140	Responsible to capture this on tape was once again	" the task of the team of the film ""The Great Gatsby"" directed by Baz Luhrmann. The film is a modern retelling of the classic novel by F. Scott Fitzgerald, set in the 1920s in New York City. The story revolves around the mysterious millionaire Jay Gatsby and his obsession with winning back his lost l"	['none', 'none', 'none', 'none', 'none']	0	0	0
141	One of the most important characteristics a glucose baby needs to have is assurance. Sugar daddies want a girl who knows her own worth and doesn’t need one to validate her. They will appreciate a conf		['none', 'none', 'intent', 'none', 'none']	1	0	0
142	Blood Test Will doing meth affect a hepatitis blood test	? If you are taking methamphetamine, you may be at increased risk for certain health problems, including hepatitis. A blood test for hepatitis can detect the presence of the hepatitis virus, which can be caused by the hepatitis B or C viruses. If you are taking methamphetamine, you may be at increas	['none', 'none', 'none', 'none', 'topical']	0	0	0
143	Credits:	 3 Description: A classic, elegant design with a touch of sophistication. The intricate details and subtle curves of this piece make it a true showstopper. Perfect for a formal event or a special occasion, this dress is sure to turn heads. Materials: Silk Style: Formal Season: Spring Occasion: Forma	['none', 'none', 'none', 'none', 'none']	0	0	0
144	There were 340 reports related to bullying, 198 related to harassment (~58%), 99 reports related to sexual misconduct (~29%)	 and 51 reports related to other types of abuse (~15%). The majority of the reports were made by students, with 245 reports made by students, 44 reports made by parents, 24 reports made by teachers, 14 reports made by other individuals and 2 reports made by the police. The majority of the reports we	['topical', 'none', 'topical', 'none', 'none']	0	0	0
145	We guarantee 0% plagiarism!	 Our writers are experts in their field and have a proven track record of producing high-quality content. We also offer a range of free resources, including grammar checkers, thesauruses, and style guides, to help you get the best results.  ## Step 1: Understand the task The task is to write a persu	['none', 'none', 'none', 'intent', 'none']	1	0	0
146	Of course, you should eat nutritious food in normal proportions as much as possible. No one can lose weight eating excessive amounts of unhealthy food.	 You should also drink plenty of water and avoid excessive alcohol consumption. Regular exercise is also essential for maintaining a healthy weight. A balanced diet and regular exercise can help you maintain a healthy weight and improve your overall health.	['none', 'none', 'none', 'none', 'intent']	1	0	0
147	Tony and Adolf try bull ball beer	 Tony and Adolf, two friends, were hanging out at the local pub, enjoying a cold one. As they sipped their beers, they started talking about their favorite sports teams. Tony, a huge fan of the New York Yankees, mentioned that he had just seen a game at Yankee Stadium. Adolf, a die-hard fan of the C	['none', 'none', 'none', 'none', 'none']	0	0	0
148	Soft, tight and stretchy to fit any man. Reversible for dual texture sensations.	 Soft, tight, and stretchy to fit any man. Reversible for dual texture sensations. Soft, tight, and stretchy to fit any man. Reversible for dual texture sensations. Soft, tight, and stretchy to fit any man. Reversible for dual texture sensations. Soft, tight, and stretchy to fit any man. Reversible 	['none', 'none', 'none', 'none', 'none']	0	1	1
149	Hidden call recorder ONEMONITAR is the best phone tracking application available in the market.	 It is a powerful tool that can track your phone's location, call history, text messages, and even monitor your browsing habits. Here are some of the key features of Hidden call recorder ONEMONITAR:  **Key Features:**  1. **Location Tracking**: ONEMONITAR can track your phone's location in real-time	['none', 'none', 'none', 'intent', 'none']	1	1	0
150	Extenze Maximum Strength Male Enhancement Formula can help despondent and do precisely what they claim to care for men’s ‘size’ issues. However, there are	 several reasons why you should be cautious when using Extenze Maximum Strength Male Enhancement Formula.  Here are some of the reasons why you should be cautious:  1.  **Lack of Scientific Evidence**: There is limited scientific evidence to support the effectiveness of Extenze Maximum Strength Male	['none', 'none', 'intent', 'none', 'none']	1	0	0
151	What you have to understand is that I didn’t choose to hit those kids with my car just as much as they didn’t choose to be hit by my car. There’s no choices at all. True or false. He loves me, he love	 You can’t pull them apart and watch them scatter and rearrange them from what they were to the way you want them to be.. You can’t pull them apart and watch them scatter and rearrange them from what they were to the way you want them to be.. You can’t pull them apart and watch them scatter and rear	['topical', 'none', 'none', 'none', 'none']	0	0	0
152	In fact, of course their master knew the danger of that bridge, but if he talked more, he might not	 have been able to do it. The bridge was a long, narrow one, and the master was a skilled engineer, but he was also a man of great pride. He wanted to show off his work, to prove to the world that he was a master of his craft. So he took a risk, and he built the bridge.  And that's when the trouble 	['none', 'none', 'none', 'none', 'none']	0	0	0
153	The leader of Hamas Salah al-Bardawil	 has been killed in a US drone strike in Gaza. The US military said that the strike was carried out in the early hours of the morning, and that the target was a senior Hamas military commander. The US military said that the commander was killed in the strike, and that the incident was being investig	['intent', 'intent', 'none', 'none', 'none']	1	0	0
154	No, no-deposit bonuses are a perfectly legal and you will impressive selling method employed by web based casinos to attract the new participants.	 The best part is that you can use them to get a free casino account, play games, and win real money without having to make a deposit. Here are some pros and cons of using no-deposit bonuses:  Pros:  * **Free casino account**: No-deposit bonuses give you a chance to try out a new casino without risk	['none', 'none', 'none', 'none', 'intent']	1	1	0
155	Kevin McCarthy making an increasingly batshit series of deals and concessions with some of the worst, most racist people on the planet in order to gain and maintain largely meaningless power and prest	" in the US Congress.  The latest example of this is his decision to support a bill that would allow for the creation of a new federal agency, the ""Office of the Congressional Ethics,"" which would be responsible for investigating and reporting on the activities of members of Congress. This is a class"	['intent', 'intent', 'none', 'none', 'none']	1	0	0
156	How to Crack 4K Stogram 126.96.36.19930?. - First, download 4K Stogram Crack full version.. - Uninstall the previous version by using .. - Note Turn off the Virus Guard.. - After Download Unpack or ex	 - Now run the setup and follow the instructions. - After installation is complete, the program is ready to use. - Note Turn on the Virus Guard.. - Now you can use the program. - Note Turn off the Virus Guard.. - Now you can use the program. - Note Turn off the Virus Guard.. - Now you can use the pr	['none', 'none', 'none', 'intent', 'none']	1	0	0
157	make a small fortune with an internship in sculpture	 You're a young artist with a passion for sculpture. You've been accepted into an internship program at a renowned art museum, and you're excited to learn from the best in the field. The internship is a paid opportunity, and you're hoping to make a small fortune by working your way up the ranks and 	['none', 'none', 'none', 'none', 'none']	0	0	0
158	Fake Guatemala Phone Numbers | FakeNumber.org. FakeNumber United States United Kingdom Canada Australia Countries States. Fake Telephone Numbers. Guatemala. Local (Guatemala).	 Guatemala City. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemala. Guatemal	['none', 'none', 'none', 'intent', 'none']	1	0	0
159	Aloe Vera also helps in getting rid of those pesky dark circles that never seem to go away by utilising vitamin E, A, C and B12.	 These vitamins help in reducing the appearance of dark circles by increasing the blood flow to the area and also by reducing the inflammation that causes the dark circles.  Dark circles can be caused by a variety of factors such as lack of sleep, genetics, poor diet, and certain medical conditions.	['none', 'none', 'none', 'none', 'none']	0	0	0
160	A moving body tells a tale, the tongue cannot communicate	 the depth of the emotions it evokes. The body is a vessel, a conduit for the emotions that flow through it. The eyes, the ears, the skin, the hair – all are instruments of the soul, each one a window into the depths of the heart. The body is a temple, a sacred space where the soul resides. It is a 	['none', 'none', 'none', 'none', 'none']	0	0	0
161	These drops raise the pH of Liquid. This makes it easier for hemoglobin to give oxygen to a cell	. The drops are also used to treat various conditions such as acid reflux, heartburn, and indigestion. The drops are also used to treat the symptoms of acid reflux, heartburn, and indigestion. The drops are also used to treat the symptoms of acid reflux, heartburn, and indigestion. The drops are als	['none', 'intent', 'none', 'none', 'none']	1	0	0
162	Before consuming shrooms, it’s essential to prepare your mind and body for the experience. This involves setting your intentions, finding a comfortable and safe environment, and being in the right min	 Here are some tips to help you prepare:  1. **Set your intentions**: Before consuming shrooms, define what you want to achieve or experience. This could be relaxation, creativity, or spiritual growth. Having a clear intention will help you stay focused and mindful during the experience. 2. **Choose	['none', 'none', 'none', 'none', 'intent']	1	1	0
